id,value
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.0.1.1.1.1.167,3456
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.0.213,3416
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.0.0.121,3448
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.0.1.212,3448
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.0.0.49,3481
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.0.1.136,3481
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.0.92,3492
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.0.200,3508
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.0.0.189,3519
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.0.1.0.100,3524
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.0.1.1.107,3524
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.1.0.69,3520
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.0.1.1.1.118,3520
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.0.151,3509
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.1.0.185,3515
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.1.1.0.26,3520
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.0.1.1.1.1.1.28,3520
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.0.127,3493
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.0.19,3503
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.1.0.34,3508
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.1.1.0.9,3513
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.0.1.1.1.1.1.1.45,3513
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.0.0.86,3478
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.0.1.174,3478
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.1.0.164,3481
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.0.1.1.1.1.1.1.169,3481
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.0.0.37,3412
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.0.1.0.82,3424
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.0.1.1.89,3424
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.0.193,3415
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.0.168,3434
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.1.0.207,3447
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.1.1.0.55,3460
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.0.1.1.1.1.1.1.68,3460
root.1.1.1.1.0.1.1.1.1.1.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.0.0.12,3408
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.0.1.0.16,3415
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.0.1.1.78,3415
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.1.0.4,3410
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.0.1.1.53,3410
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.0.117,3430
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.0.72,3443
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.0.0.3,3463
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.0.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.0.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.0.1.0.40,3466
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.0.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.0.1.1.90,3466
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.0.0,
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.0.0.8,3482
root.1.1.1.1.0.1.1.1.1.1.1.0.1.1.0.0.1.1.1.0.0.0.1,
